Patient Name         : Acuros lung evaluation, RC Physics
Patient ID           : Case25_AXB_Dm
Comment              : DVHs for one plan
Date                 : 06 February 2017 15:11:59
Exported by          : rcole
Type                 : Cumulative Dose Volume Histogram
Description          : The cumulative DVH displays the percentage (relative)
                       or volume (absolute) of structures that receive a dose
                       equal to or greater than a given dose.

Plan: Case25_AXB_Dm
Course: 1
Plan Status: Unapproved
Prescribed dose [Gy]: 55.000
% for dose (%): 100.0

Structure: BODY
Approval Status: Unapproved
Plan: Case25_AXB_Dm
Course: 1
Volume [cm³]: 32484.9
Dose Cover.[%]: 100.0
Sampling Cover.[%]: 99.9
Min Dose [%]: 0.0
Max Dose [%]: 118.2
Mean Dose [%]: 4.0
Modal Dose [%]: 0.1
Median Dose [%]: 0.6
STD [%]: 9.2
Equiv. Sphere Diam. [cm]: 39.6
Conformity Index: N/A
Gradient Measure [cm]: N/A

Relative dose [%]           Dose [Gy] Ratio of Total Structure Volume [%]
             30.4               16.72                    1.7754
             30.5              16.775                   1.76287
             30.6               16.83                   1.75031
             30.7              16.885                   1.73838
             30.8               16.94                   1.72681
             30.9              16.995                   1.71486
               31               17.05                   1.70288
             31.1              17.105                    1.6913
             31.2               17.16                   1.68018
             31.3              17.215                   1.66933
             31.4               17.27                   1.65887
             31.5              17.325                    1.6483
             31.6               17.38                    1.6376
             31.7              17.435                   1.62668
             31.8               17.49                   1.61545
             31.9              17.545                   1.60437
               32                17.6                   1.59366
             32.1              17.655                   1.58369
             32.2               17.71                    1.5738
             32.3              17.765                   1.56329
             32.4               17.82                   1.55337
             32.5              17.875                   1.54387
             32.6               17.93                   1.53448
             32.7              17.985                   1.52462
             32.8               18.04                     1.515
             32.9              18.095                   1.50565
               33               18.15                   1.49624
             33.1              18.205                   1.48696
             33.2               18.26                   1.47778
             33.3              18.315                   1.46846
             33.4               18.37                   1.45911
             33.5              18.425                   1.44977
             33.6               18.48                   1.44131
             33.7              18.535                   1.43299
             33.8               18.59                   1.42416
             33.9              18.645                   1.41595
               34                18.7                   1.40766
             34.1              18.755                   1.39934
             34.2               18.81                   1.39126
             34.3              18.865                   1.38303
             34.4               18.92                   1.37465
             34.5              18.975                   1.36648
             34.6               19.03                   1.35821
             34.7              19.085                   1.35008
             34.8               19.14                   1.34213
             34.9              19.195                   1.33422
               35               19.25                   1.32623
             35.1              19.305                   1.31867
             35.2               19.36                   1.31081
             35.3              19.415                   1.30292
             35.4               19.47                   1.29555
             35.5              19.525                   1.28808
             35.6               19.58                   1.28066
             35.7              19.635                   1.27306
             35.8               19.69                   1.26554
             35.9              19.745                   1.25852
               36                19.8                   1.25194
             36.1              19.855                   1.24512
             36.2               19.91                   1.23837
             36.3              19.965                   1.23119
             36.4               20.02                   1.22422
             36.5              20.075                   1.21731
             36.6               20.13                   1.21084
             36.7              20.185                   1.20424
             36.8               20.24                   1.19739
             36.9              20.295                    1.1906
               37               20.35                   1.18378
             37.1              20.405                   1.17708
             37.2               20.46                   1.17088
             37.3              20.515                   1.16492
             37.4               20.57                   1.15905
             37.5              20.625                   1.15325
             37.6               20.68                   1.14746
             37.7              20.735                    1.1416
             37.8               20.79                   1.13546
             37.9              20.845                   1.12935
               38                20.9                   1.12322
             38.1              20.955                   1.11717
             38.2               21.01                   1.11071
             38.3              21.065                   1.10473
             38.4               21.12                   1.09909
             38.5              21.175                   1.09321
             38.6               21.23                   1.08723
             38.7              21.285                   1.08162
             38.8               21.34                   1.07625
             38.9              21.395                   1.07067
               39               21.45                   1.06539
             39.1              21.505                   1.05988
             39.2               21.56                    1.0548
             39.3              21.615                   1.04976
             39.4               21.67                   1.04453
             39.5              21.725                   1.03934
             39.6               21.78                   1.03399
             39.7              21.835                   1.02864
             39.8               21.89                   1.02365
             39.9              21.945                   1.01851
               40                  22                   1.01342
             40.1              22.055                   1.00803
             40.2               22.11                   1.00317
             40.3              22.165                   0.99817
             40.4               22.22                  0.993048
             40.5              22.275                  0.987908
             40.6               22.33                  0.983141
             40.7              22.385                  0.978444
             40.8               22.44                  0.973974
             40.9              22.495                  0.969457
               41               22.55                  0.964689
             41.1              22.605                  0.960141
             41.2               22.66                  0.955581
             41.3              22.715                  0.950959
             41.4               22.77                  0.946403
             41.5              22.825                  0.941627
             41.6               22.88                  0.936936
             41.7              22.935                  0.932652
             41.8               22.99                  0.928529
             41.9              23.045                  0.924363
               42                23.1                  0.919962
             42.1              23.155                  0.915639
             42.2               23.21                  0.911265
             42.3              23.265                  0.907092
             42.4               23.32                  0.902936
             42.5              23.375                  0.898739
             42.6               23.43                  0.894346
             42.7              23.485                   0.89014
             42.8               23.54                  0.886375
             42.9              23.595                  0.882683
               43               23.65                  0.878664
             43.1              23.705                  0.874573
             43.2               23.76                  0.870488
             43.3              23.815                  0.866287
             43.4               23.87                  0.862347
             43.5              23.925                  0.858486
             43.6               23.98                  0.854426
             43.7              24.035                  0.850171
             43.8               24.09                  0.846342
             43.9              24.145                    0.8428
               44                24.2                  0.839238
             44.1              24.255                  0.835554
             44.2               24.31                  0.832008
             44.3              24.365                  0.828447
             44.4               24.42                  0.824832
             44.5              24.475                  0.821304
             44.6               24.53                  0.817791
             44.7              24.585                  0.814571
             44.8               24.64                   0.81113
             44.9              24.695                   0.80741
               45               24.75                  0.803783
             45.1              24.805                  0.800208
             45.2               24.86                  0.796897
             45.3              24.915                   0.79371
             45.4               24.97                  0.790499
             45.5              25.025                  0.787324
             45.6               25.08                  0.784201
             45.7              25.135                  0.780903
             45.8               25.19                  0.777601
             45.9              25.245                  0.774132
               46                25.3                  0.770679
             46.1              25.355                  0.767166
             46.2               25.41                  0.763436
             46.3              25.465                  0.759909
             46.4               25.52                  0.756746
             46.5              25.575                  0.753549
             46.6               25.63                  0.750368
             46.7              25.685                  0.747399
             46.8               25.74                  0.744571
             46.9              25.795                  0.741789
               47               25.85                  0.738947
             47.1              25.905                  0.736284
             47.2               25.96                  0.733461
             47.3              26.015                  0.730524
             47.4               26.07                  0.727444
             47.5              26.125                  0.724407
             47.6               26.18                  0.721573
             47.7              26.235                  0.718722
             47.8               26.29                  0.715916
             47.9              26.345                  0.713134
               48                26.4                  0.710568
             48.1              26.455                  0.707717
             48.2               26.51                  0.704814
             48.3              26.565                  0.701904
             48.4               26.62                   0.69939
             48.5              26.675                  0.696638
             48.6               26.73                  0.693849
             48.7              26.785                   0.69119
             48.8               26.84                   0.68838
             48.9              26.895                  0.685614
               49               26.95                  0.682813
             49.1              27.005                  0.680056
             49.2               27.06                  0.677141
